k,elapsed_s,V_0_0,V_0_1,V_0_2,V_0_3,V_0_4,V_1_0,V_1_1,V_1_2,V_1_3,V_1_4,V_2_0,V_2_1,V_2_2,V_2_3,V_2_4,V_3_0,V_3_1,V_3_2,V_3_3,V_3_4,V_4_0,V_4_1,V_4_2,V_4_3,V_4_4
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0038395000010496005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
1,0.014049000004888512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0
2,0.02759640000294894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0
3,0.03841770000872202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.58,0.0,0.0,0.0,0.0,6.2,8.0,0.0,0.0,0.0,8.0,10.0,0.0,0.0,0.0,10.0,0.0
10,0.050727800000458956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.58,6.2,0.0,0.0,0.0,6.2,8.0,0.0,0.0,0.0,8.0,10.0,0.0,0.0,0.0,10.0,0.0
100,0.07229050000023562,0.0,0.6284224359287285,0.0,0.0,4.198823529411765,0.6288200000000002,1.8098,3.1139649122807014,4.58,5.9818181818181815,0.0,0.0,4.58,6.2,8.0,0.0,4.58,6.2,8.0,10.0,4.58,6.2,7.852459016393443,10.0,0.0
1000,0.17921349999960512,0.0,0.6221139529784384,0.0,3.11970105967652,4.491764705882353,0.6284224359287285,1.807058731707317,3.1139649122807014,4.58,6.18337182448037,1.8043228070175439,3.0751721470019344,4.574556097560975,6.189787234042554,8.0,3.122,4.5691228070175445,6.191187270501835,8.0,10.0,4.574556097560975,6.159701492537315,7.961373390557942,10.0,0.0
5000,0.6205043000081787,-0.4341656073716969,0.6267918829268294,1.808232905744562,3.116639791937581,4.536344827586208,0.6256449122807018,1.8041676740105284,3.1102743489850324,4.572075051086754,6.175778719162723,1.7948810889645115,3.0988986547085196,4.5712948517940735,6.192864222001986,7.989374262101538,3.1208898464853223,4.576039744499645,6.186360191967668,7.9882044560943655,10.0,4.572085106382978,6.187566198480313,7.984473835537663,10.0,0.0
10000,1.152291000005789,-0.43522534641877464,0.6250316945572708,1.8032179322667097,3.110311447232726,4.5529606222654335,0.6250601169590644,1.7912920835356971,3.1099576994434144,4.569923980649619,6.1838388740597034,1.801876301806589,3.0922053789731048,4.564403183023876,6.193470656820837,7.991904047976012,3.117393170731707,4.557226277372266,6.179381992541284,7.991014975041594,10.0,4.560803011292345,6.18806394316164,7.982986767485822,10.0,0.0
20000,3.9001427000039257,-0.43677632572576214,0.6125589422910089,1.7983634690265486,3.1055616563021378,4.564422981945894,0.622010785554366,1.7950370814754761,3.1061948717948726,4.568695652173916,6.181800674049115,1.7981172282734652,3.104395873231606,4.566717613254266,6.192467094161331,7.9928276461638745,3.1134458715596334,4.555059869996586,6.18059614260666,7.991892555892214,10.0,4.5533060139550345,6.184620079340866,7.982996657462574,10.0,0.0
49999,7.413414599999669,-0.44053623606557357,0.6189524866180052,1.7978090856340663,3.1049785350445993,4.5595275554850305,0.6194295203191386,1.7929011464452091,3.1014229720301905,4.564220107571369,6.180873519205454,1.7976257743912547,3.1036333589546494,4.555938442969222,6.182770354386269,7.990078328981705,3.1075520751761943,4.558961152547323,6.179886662941987,7.989650073928037,10.0,4.552353059177535,6.17760951865874,7.985581544376821,10.0,0.0
